Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
Ag8Sn0.5Ga0.5Se6,576,20,-363.7,0.27,0.54,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.7Ga0.3Se6,572,14.24,-296.6,0.278,0.257752873466475,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.4Ga0.6Se6,573,6.6,-323.83,0.283,0.12,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.6Ga0.4Se6,601,23.43,-303.5,0.295797537176169,0.4385,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.6Ga0.4Se6,691,165.68,-159.11,0.297627676899717,0.9738,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.6Ga0.4Se6,640,74.59,-213.79,0.297952011380604,0.7323,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.4Ga0.6Se6,671,120.46,-178.74,0.304,0.84944507480415,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.5Ga0.5Se6,673,131.68,-175.93,0.304,0.902279528391953,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8SnSe6,523,12.54,-342.7,0.3121,0.24679347068305,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8Sn0.7Ga0.3Se6,640,79.8,-192,0.322,0.584695095652174,Expt,https://doi.org/10.1021/acsami.1c17548
AgBi0.7Sb0.3Se2,676,12.31,-305.56,0.329498886148098,0.2358,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
AgBi0.95Sb0.05Se2,575,1.47,-13.02,0.333,0.0000430291645945946,Expt,https://doi.org/10.1021/acs.inorgchem.9b00874
AgBi0.95Sb0.05Se2,600,2.094,-112,0.334,0.00471864718562874,Expt,https://doi.org/10.1021/acs.inorgchem.9b00874
AgBi0.9Sb0.1Se2,600,2.36,-59.9,0.335,0.002,Expt,https://doi.org/10.1021/acs.inorgchem.9b00874
Tl8.95Bi1.05Te6.0,322,1.7,-220,0.3375,0.00785012148148148,Expt,https://doi.org/10.1021/cm402593f
Tl8.95Bi1.05Te6.0,444,5.7,-103,0.34,0.00789684035294118,Expt,https://doi.org/10.1021/cm402593f
Tl8.95Bi1.05Te6.0,382,3.2,-208,0.344,0.0153738120930233,Expt,https://doi.org/10.1021/cm402593f
Ag8Sn0.7Ga0.3Se6,673,163.04,-158.41,0.358,0.78,Expt,https://doi.org/10.1021/acsami.1c17548
Ag8SnSe6,601,106.93,-181.54,0.3632,0.583140038518719,Expt,https://doi.org/10.1021/acsami.1c17548
AgBi0.9Sb0.1Se2,576,72.86,-216.67,0.380861206260643,0.5173,Expt,https://doi.org/10.1021/acs.inorgchem.9b01038
Ag8Sn0.7Ga0.3Se6,694,192.1,-139.5,0.3845,0.674743805812744,Expt,https://doi.org/10.1021/acsami.1c17548
BaBiTe2.9Se0.1,525,40.5,-199.2,0.391,0.215782508439898,Expt,https://doi.org/10.1021/acs.chemmater.7b04123
BaBiTe2.9Se0.1,575,38.9,-204.2,0.393,0.236,Expt,https://doi.org/10.1021/acs.chemmater.7b04123
